Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Continent,Year
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.025,0.158,Asia,2019
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.036,0.191,Asia,2018
141,Afghanistan,3.79399991,0.40147722,0.58154333,0.18074678,0.10617952,0.06115783,0.31187093,Asia,2017
154,Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,Asia,2016
153,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,Asia,2015
107,Albania,4.719,0.947,0.848,0.874,0.383,0.027,0.178,Europe,2019
112,Albania,4.586,0.916,0.817,0.79,0.419,0.032,0.149,Europe,2018
109,Albania,4.64400005,0.99619275,0.80368525,0.73115975,0.38149863,0.03986422,0.20131294,Europe,2017
109,Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,Europe,2016
95,Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,Europe,2015
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.114,0.073,Africa,2019
84,Algeria,5.295,0.979,1.154,0.687,0.077,0.135,0.055,Africa,2018
53,Algeria,5.87200022,1.09186447,1.14621747,0.61758465,0.23333581,0.14609611,0.06943665,Africa,2017
38,Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,Africa,2016
68,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,Africa,2015
142,Angola,3.795,0.73,1.125,0.269,0,0.061,0.079,Africa,2018
140,Angola,3.79500008,0.85842818,1.10441196,0.04986867,0,0.06972034,0.09792649,Africa,2017
141,Angola,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,Africa,2016
137,Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,Africa,2015
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.05,0.066,South America,2019
29,Argentina,6.388,1.073,1.468,0.744,0.57,0.054,0.062,South America,2018
24,Argentina,6.59899998,1.18529546,1.44045115,0.69513708,0.4945192,0.05973989,0.10945706,South America,2017
26,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,South America,2016
30,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,South America,2015
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.064,0.095,Asia,2019
129,Armenia,4.321,0.816,0.99,0.666,0.26,0.028,0.077,Asia,2018
121,Armenia,4.37599993,0.90059674,1.00748372,0.63752443,0.19830327,0.02667442,0.08348809,Asia,2017
121,Armenia,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,Asia,2016
127,Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,Asia,2015
11,Australia,7.228,1.372,1.548,1.036,0.557,0.29,0.332,Oceania,2019
10,Australia,7.272,1.34,1.573,0.91,0.647,0.302,0.361,Oceania,2018
10,Australia,7.28399992,1.48441494,1.51004195,0.84388679,0.60160738,0.30118373,0.47769925,Oceania,2017
9,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,Oceania,2016
10,Australia,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,Oceania,2015
10,Austria,7.246,1.376,1.475,1.016,0.532,0.226,0.244,Europe,2019
12,Austria,7.139,1.341,1.504,0.891,0.617,0.224,0.242,Europe,2018
13,Austria,7.00600004,1.48709726,1.45994496,0.81532842,0.56776619,0.22106037,0.31647232,Europe,2017
12,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,Europe,2016
13,Austria,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,Europe,2015
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.182,0.035,Europe,2019
87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.176,0.031,Europe,2018
85,Azerbaijan,5.23400021,1.15360177,1.15240026,0.54077578,0.39815584,0.18098751,0.04526934,Europe,2017
81,Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,Europe,2016
80,Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,Europe,2015
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.11,0.255,Asia,2019
43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.123,0.243,Asia,2018
41,Bahrain,6.08699989,1.48841226,1.32311046,0.65313303,0.53674692,0.25704217,0.17266849,Asia,2017
42,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,Asia,2016
49,Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,Asia,2015
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.143,0.166,Asia,2019
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.144,0.153,Asia,2018
110,Bangladesh,4.6079998,0.58668298,0.73513174,0.53324103,0.47835666,0.12371786,0.17225535,Asia,2017
110,Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,Asia,2016
109,Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,Asia,2015
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.142,0.094,Europe,2019
73,Belarus,5.483,1.039,1.498,0.7,0.307,0.154,0.101,Europe,2018
67,Belarus,5.56899977,1.15655756,1.44494522,0.63771427,0.29540026,0.15631382,0.15513751,Europe,2017
61,Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,Europe,2016
59,Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,Europe,2015
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.21,0.16,Europe,2019
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.24,0.188,Europe,2018
17,Belgium,6.89099979,1.46378076,1.4623127,0.81809187,0.53977072,0.25134313,0.23150334,Europe,2017
18,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,Europe,2016
19,Belgium,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,Europe,2015
49,Belize,5.956,0.807,1.101,0.474,0.593,0.089,0.183,North America,2018
50,Belize,5.95599985,0.90797532,1.0814178,0.45019177,0.54750937,0.09658107,0.24001564,North America,2017
52,Belize,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,North America,2016
102,Benin,4.883,0.393,0.437,0.397,0.349,0.082,0.175,Africa,2019
136,Benin,4.141,0.378,0.372,0.24,0.44,0.067,0.163,Africa,2018
143,Benin,3.65700006,0.43108541,0.43529984,0.20993021,0.42596278,0.06092902,0.20794846,Africa,2017
153,Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,Africa,2016
155,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,Africa,2015
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.167,0.37,Asia,2019
97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.171,0.364,Asia,2018
97,Bhutan,5.01100016,0.88541639,1.34012651,0.49587929,0.50153768,0.17338039,0.47405455,Asia,2017
84,Bhutan,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,Asia,2016
79,Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,Asia,2015
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.064,0.137,South America,2019
62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.054,0.141,South America,2018
58,Bolivia,5.82299995,0.83375657,1.22761905,0.47363025,0.55873293,0.06047773,0.22556072,South America,2017
59,Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,South America,2016
51,Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,South America,2015
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.006,0.263,Europe,2019
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0,0.216,Europe,2018
90,Bosnia and Herzegovina,5.18200016,0.98240942,1.06933594,0.70518631,0.20440318,0,0.3288675,Europe,2017
87,Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,Europe,2016
96,Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,Europe,2015
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.1,0.025,Africa,2019
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.092,0.042,Africa,2018
142,Botswana,3.76600003,1.12209415,1.22155499,0.34175551,0.50519633,0.0985832,0.09934845,Africa,2017
137,Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,Africa,2016
128,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,Africa,2015
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.086,0.099,South America,2019
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.088,0.11,South America,2018
22,Brazil,6.63500023,1.10735321,1.431306,0.61655235,0.43745375,0.11109276,0.16234989,South America,2017
17,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,South America,2016
16,Brazil,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,South America,2015
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.004,0.081,Europe,2019
100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.009,0.064,Europe,2018
105,Bulgaria,4.71400023,1.16145909,1.43437946,0.70821768,0.28923172,0.01105153,0.11317769,Europe,2017
129,Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,Europe,2016
134,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,Europe,2015
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.113,0.177,Africa,2019
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.128,0.175,Africa,2018
134,Burkina Faso,4.03200006,0.35022771,1.04328001,0.21584426,0.32436785,0.12032811,0.25086468,Africa,2017
145,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,Africa,2016
152,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,Africa,2015
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.18,0.176,Africa,2019
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.076,0.149,Africa,2018
154,Burundi,2.90499997,0.09162257,0.62979358,0.15161079,0.05990075,0.08414795,0.20443518,Africa,2017
157,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,Africa,2016
157,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,Africa,2015
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.062,0.232,Asia,2019
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.065,0.256,Asia,2018
129,Cambodia,4.16800022,0.6017651,1.00623834,0.4297834,0.63337582,0.06810595,0.38592297,Asia,2017
140,Cambodia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,Asia,2016
145,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,Asia,2015
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.037,0.187,Africa,2019
99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.043,0.183,Africa,2018
107,Cameroon,4.69500017,0.56430537,0.94601822,0.13289212,0.43038875,0.05130663,0.23629846,Africa,2017
114,Cameroon,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,Africa,2016
133,Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,Africa,2015
9,Canada,7.278,1.365,1.505,1.039,0.584,0.308,0.285,North America,2019
7,Canada,7.328,1.33,1.532,0.896,0.653,0.291,0.321,North America,2018
7,Canada,7.31599998,1.47920442,1.48134899,0.83455765,0.61110091,0.28737152,0.43553972,North America,2017
6,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,North America,2016
5,Canada,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,North America,2015
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.035,0.235,Africa,2019
155,Central African Republic,3.083,0.024,0,0.01,0.305,0.038,0.218,Africa,2018
155,Central African Republic,2.69300008,0,0,0.01877269,0.27084205,0.05656508,0.28087649,Africa,2017
148,Central African Republic,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,Africa,2015
132,Chad,4.35,0.35,0.766,0.192,0.174,0.078,0.198,Africa,2019
131,Chad,4.301,0.358,0.907,0.053,0.189,0.06,0.181,Africa,2018
137,Chad,3.93600011,0.43801299,0.95385587,0.04113472,0.16234203,0.05358188,0.21611385,Africa,2017
144,Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,Africa,2016
149,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,Africa,2015
26,Chile,6.444,1.159,1.369,0.92,0.357,0.056,0.187,South America,2019
25,Chile,6.476,1.131,1.331,0.808,0.431,0.061,0.197,South America,2018
20,Chile,6.65199995,1.25278461,1.28402495,0.8194797,0.37689528,0.08228798,0.32666242,South America,2017
24,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,South America,2016
27,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,South America,2015
93,China,5.191,1.029,1.125,0.893,0.521,0.1,0.058,Asia,2019
86,China,5.246,0.989,1.142,0.799,0.597,0.103,0.029,Asia,2018
79,China,5.27299976,1.08116579,1.16083741,0.7414155,0.47278771,0.02279427,0.02880684,Asia,2017
83,China,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,Asia,2016
84,China,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,Asia,2015
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.034,0.099,South America,2019
37,Colombia,6.26,0.96,1.439,0.635,0.531,0.039,0.099,South America,2018
36,Colombia,6.35699987,1.07062232,1.40218294,0.59502792,0.47748742,0.04666874,0.14901447,South America,2017
31,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,South America,2016
33,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,South America,2015
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.078,0.275,Africa,2019
138,Comoros,3.956,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,Africa,2016
140,Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,Africa,2015
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.093,0.105,Africa,2019
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.077,0.091,Africa,2018
124,Congo (Brazzaville),4.29099989,0.80896425,0.83204436,0.28995743,0.43502587,0.07961813,0.12085213,Africa,2017
127,Congo (Brazzaville),4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,Africa,2016
139,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,Africa,2015
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.053,0.212,Africa,2019
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.052,0.197,Africa,2018
126,Congo (Kinshasa),4.28000021,0.09210235,1.22902346,0.19140702,0.23596135,0.06024136,0.24645583,Africa,2017
125,Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,Africa,2016
120,Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,Africa,2015
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.093,0.144,North America,2019
13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.101,0.143,North America,2018
12,Costa Rica,7.079,1.10970628,1.41640365,0.75950927,0.58013165,0.10010659,0.21461323,North America,2017
14,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,North America,2016
12,Costa Rica,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,North America,2015
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.022,0.119,Europe,2019
82,Croatia,5.321,1.115,1.161,0.737,0.38,0.039,0.12,Europe,2018
77,Croatia,5.29300022,1.22255623,0.96798301,0.70128852,0.25577229,0.04310311,0.24800298,Europe,2017
74,Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,Europe,2016
62,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,Europe,2015
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.041,0.19,Europe,2019
61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.035,0.202,Europe,2018
65,Cyprus,5.62099981,1.35593808,1.13136327,0.8447147,0.35511154,0.04123798,0.2712543,Europe,2017
69,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,Europe,2016
67,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,Europe,2015
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.036,0.046,Europe,2019
21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.034,0.064,Europe,2018
23,Czech Republic,6.60900021,1.35268235,1.43388522,0.754444,0.49094617,0.03687293,0.08810676,Europe,2017
27,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,Europe,2016
31,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,Europe,2015
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.41,0.252,Europe,2019
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.408,0.284,Europe,2018
2,Denmark,7.52199984,1.48238301,1.55112159,0.79256552,0.62600672,0.40077007,0.35528049,Europe,2017
1,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,Europe,2016
3,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,Europe,2015
126,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,Europe,2015
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.101,0.113,North America,2019
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.106,0.12,North America,2018
86,Dominican Republic,5.23000002,1.07937384,1.40241671,0.57487375,0.55258983,0.11394525,0.18696785,North America,2017
89,Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,North America,2016
98,Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,North America,2015
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.087,0.126,South America,2019
48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.12,0.114,South America,2018
44,Ecuador,6.0079999,1.0008204,1.28616881,0.68563622,0.4551982,0.14013465,0.15011247,South America,2017
51,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,South America,2016
48,Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,South America,2015
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.067,0.076,Africa,2019
122,Egypt,4.419,0.885,1.025,0.553,0.312,0.107,0.092,Africa,2018
104,Egypt,4.73500013,0.98970181,0.99747139,0.52018726,0.28211015,0.11438137,0.12863144,Africa,2017
120,Egypt,4.362,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,Africa,2016
135,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,Africa,2015
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.074,0.093,North America,2019
40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.082,0.065,North America,2018
45,El Salvador,6.00299978,0.9097845,1.18212509,0.59601855,0.43245253,0.08998096,0.07825799,North America,2017
46,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,North America,2016
42,El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,North America,2015
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.161,0.103,Europe,2019
63,Estonia,5.739,1.2,1.532,0.737,0.553,0.174,0.086,Europe,2018
66,Estonia,5.61100006,1.32087934,1.4766711,0.69516832,0.47913143,0.18324892,0.09889081,Europe,2017
72,Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,Europe,2016
73,Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,Europe,2015
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.1,0.209,Africa,2019
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.146,0.22,Africa,2018
119,Ethiopia,4.46000004,0.33923385,0.8646692,0.35340971,0.40884274,0.16545571,0.31265074,Africa,2017
115,Ethiopia,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,Africa,2016
122,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,Africa,2015
1,Finland,7.769,1.34,1.587,0.986,0.596,0.393,0.153,Europe,2019
1,Finland,7.632,1.305,1.592,0.874,0.681,0.393,0.202,Europe,2018
5,Finland,7.46899986,1.44357193,1.54024673,0.80915767,0.61795086,0.38261154,0.24548277,Europe,2017
5,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,Europe,2016
6,Finland,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,Europe,2015
24,France,6.592,1.324,1.472,1.045,0.436,0.183,0.111,Europe,2019
23,France,6.489,1.293,1.466,0.908,0.52,0.176,0.098,Europe,2018
31,France,6.44199991,1.43092346,1.38777685,0.84446585,0.47022212,0.17250243,0.12976231,Europe,2017
32,France,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,Europe,2016
29,France,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,Europe,2015
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.055,0.043,Africa,2019
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.052,0.032,Africa,2018
118,Gabon,4.46500015,1.19821024,1.15562022,0.35657859,0.31232858,0.07604679,0.04378538,Africa,2017
134,Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,Africa,2016
143,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,Africa,2015
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.167,0.269,Africa,2019
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.164,0.043,Europe,2019
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.215,0.038,Europe,2018
125,Georgia,4.28599977,0.95061266,0.57061493,0.64954698,0.30941004,0.25166664,0.05400882,Europe,2017
126,Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,Europe,2016
130,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,Europe,2015
17,Germany,6.985,1.373,1.454,0.987,0.495,0.265,0.261,Europe,2019
15,Germany,6.965,1.34,1.474,0.861,0.586,0.28,0.273,Europe,2018
16,Germany,6.95100021,1.48792338,1.47252035,0.79895073,0.56251138,0.27673194,0.33626917,Europe,2017
16,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,Europe,2016
26,Germany,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,Europe,2015
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.04,0.245,Africa,2019
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.029,0.212,Africa,2018
131,Ghana,4.11999989,0.66722482,0.87366474,0.29563773,0.42302629,0.02533637,0.25692394,Africa,2017
124,Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,Africa,2016
114,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,Africa,2015
82,Greece,5.287,1.181,1.156,0.999,0.067,0.034,0,Europe,2019
79,Greece,5.358,1.154,1.202,0.879,0.131,0.044,0,Europe,2018
87,Greece,5.22700024,1.28948748,1.23941457,0.8101989,0.09573125,0.04328978,0,Europe,2017
99,Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,Europe,2016
102,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,Europe,2015
